Temperature,Pressure,Gas,Vibration,Label
22.51790227018226,1012.7727347697067,666,0,0
30.32130549328749,991.8444156493861,817,0,0
44.97322980589355,1003.4570612306878,2495,1,1
29.745730565431437,1012.9005860048007,705,1,1
35.02120474870686,1000.4091229292072,1890,1,1
44.210310974451424,995.995271300123,1945,0,1
38.40890309014049,1006.28533763387,589,0,1
41.0056515653731,1008.6449344716447,1197,0,1
37.07463556813044,1006.1913053921728,483,0,0
37.077803945961996,1000.6506014897087,1190,1,1
26.65885534515815,993.3493954470745,1192,1,1
29.729636063575978,998.3552767263961,1215,1,1
23.198733714143817,997.8409237513382,786,1,1
24.520332867309037,1004.4799715526856,377,1,1
22.386483260962027,994.596505624341,1024,0,0
32.644930638087075,998.5541096775968,558,1,1
24.224539503400884,1007.1882905307612,1872,0,1
39.18068186705533,1010.6578839403071,2476,0,1
23.83357163630705,999.6095869561251,1256,0,1
42.5639895150934,1007.3957936126692,2153,0,1
44.19101991726232,1011.2244785938069,701,1,1
38.48261885171261,1010.2694129489768,1660,0,1
29.651267342766168,1004.3878671078237,389,0,0
22.280359243549306,994.3412334232682,952,1,1
27.650808187241996,1008.2995669062352,578,0,0
42.17268644982847,1001.788448879312,532,1,1
38.80797065278293,994.1527076118258,2446,0,1
32.327793751479874,994.4735292584628,1377,1,1
42.485260252259366,1010.5294364519921,1949,1,1
44.62905109765643,994.739498562595,818,1,1
24.764713326849712,998.3437182290945,1327,0,1
36.49209587955868,1005.964725799418,2487,1,1
44.59808045079203,996.2222027374278,825,0,1
22.749989172653866,1001.2391697736398,118,1,1
26.974263880660427,1005.7818937474543,1130,1,1
31.279064647275113,1008.0686142238617,2192,1,1
28.289963479351222,995.2156339410087,1720,1,1
29.956680751391797,1007.3262325615088,532,0,0
27.691477616519375,995.0225337906902,1613,1,1
23.497650836810003,1007.1358914200571,639,1,1
36.40157059503827,995.6602837238798,1973,0,1
24.438323584587028,994.5503518855814,2388,1,1
22.090666002621553,993.9332232478939,562,1,1
41.74353342070812,1014.9249300488992,1453,1,1
32.898484798465205,1002.5674176942183,2084,1,1
39.63921797140249,1002.2315229783071,1163,0,1
25.770333567577683,1008.6048546430693,101,1,1
27.096264143670528,1011.3595608323883,2074,1,1
41.93281064074412,1000.9326938991686,1598,1,1
23.331125606585843,1004.4859318832431,1314,1,1
44.6674854998017,1001.8953370687353,1083,0,1
31.148690472897535,1010.068557529801,2359,0,1
26.076877420667604,996.6444508256501,1917,0,1
37.06691784607417,1012.6099168883744,1689,0,1
33.79116977243199,1014.9892008109906,201,1,1
24.321860271499244,996.3505312450308,1295,1,1
41.3737271038615,1003.5519619425304,1340,1,1
39.93947997519868,1008.2913478387027,1695,0,1
43.48662953161674,995.9184203869556,476,1,1
32.157768790300125,1014.6468547320964,1971,0,1
26.642391984260303,990.3652576580062,1038,0,0
24.709397364511144,997.0757611580893,1153,0,0
30.549220695094313,1012.6674142403061,2039,0,1
44.19953302699402,1007.3621548864891,2443,0,1
33.230326413163446,998.5431456945464,991,0,0
30.93864337527412,1003.9241818208191,2465,0,1
42.510449143357306,996.0857559267844,2476,1,1
23.434756014153976,995.7745465497812,349,0,0
37.03284227878133,1014.8205808992793,541,1,1
37.954811786535146,1013.2347118305829,2325,1,1
31.788360558001933,993.5080461306271,1431,1,1
35.128950755026494,1014.7404930140419,1393,1,1
23.6058675147941,1008.765652780279,702,1,1
40.2777927865809,992.2561224415767,933,0,1
41.722246066458425,1005.624855670232,1600,1,1
33.96703505225941,1005.5531319233196,2396,1,1
39.21063211370081,993.8968865168637,1095,0,1
39.98621267103358,1006.0773806106995,1274,1,1
44.307421185513306,1010.8963057042033,2347,1,1
31.193257476374406,1004.8320550940175,678,0,0
36.25841424921238,1001.7621691177729,1563,0,1
27.833784664906407,1014.5715318645848,279,1,1
44.98607358404141,994.273266122394,1894,1,1
44.98832704974197,1005.5501249941663,1789,1,1
24.590762938557816,994.846776434514,282,1,1
25.703254849182315,1010.3684151508941,119,1,1
24.710250887207334,1003.7123271583977,2205,0,1
35.746131006134476,1006.3323716500897,1506,1,1
30.991418561016097,1001.7582403252206,1526,1,1
22.9274002950348,997.7722770854597,583,0,0
41.3765026692477,1013.0478734008157,1929,0,1
41.86481175090019,993.7490216420623,525,0,1
30.433894732214355,1011.0088488653101,907,0,0
22.84851547081184,1012.314233147105,926,1,1
40.595020419496876,997.8509646765343,2307,1,1
24.443299120387806,1010.6899915278751,629,0,0
25.732758489545635,1013.3819105558083,466,0,0
37.59268306738375,990.6149418761552,1929,0,1
34.802346246954414,1014.999128658651,1326,0,1
39.92027935285405,1006.3169185385294,151,1,1
23.77192555400953,1009.2050789162024,2449,0,1
25.677640206174658,1004.7069324568273,830,1,1
40.4525454552752,1005.46306099645,1831,1,1
24.069433245991764,1009.5939041060603,635,1,1
33.47388805422567,1004.1026884673266,702,1,1
37.148476438723414,992.0481111320951,1063,0,0
38.29660270689041,1007.7239514634348,561,0,1
42.341374497286225,992.2728575236498,765,1,1
39.38715392792325,1005.0218274993815,1999,1,1
35.783401355596645,1000.0007779248305,841,1,1
42.91542522247656,994.8720416054009,102,1,1
43.74812040270945,1006.3669819335934,1697,1,1
42.02747659666981,1013.7667646668119,868,1,1
42.83392684449942,1000.4851767302472,877,1,1
